@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,34020980,2023-07-10 23:00:00,143.00,428.00,0.00
DadosHidrometereologicos2,1,34020980,2023-07-10 22:00:00,143.00,428.00,0.00
DadosHidrometereologicos3,2,34020980,2023-07-10 21:00:00,142.00,427.00,0.00
DadosHidrometereologicos4,3,34020980,2023-07-10 20:00:00,142.00,427.00,0.00
DadosHidrometereologicos5,4,34020980,2023-07-10 19:00:00,143.00,428.00,0.00
DadosHidrometereologicos6,5,34020980,2023-07-10 18:00:00,143.00,428.00,0.00
DadosHidrometereologicos7,6,34020980,2023-07-10 17:00:00,142.00,427.00,0.00
DadosHidrometereologicos8,7,34020980,2023-07-10 16:00:00,141.00,426.00,0.00
DadosHidrometereologicos9,8,34020980,2023-07-10 15:00:00,141.00,426.00,0.00
DadosHidrometereologicos10,9,34020980,2023-07-10 14:00:00,142.00,427.00,0.00
DadosHidrometereologicos11,10,34020980,2023-07-10 13:00:00,142.00,427.00,0.00
DadosHidrometereologicos12,11,34020980,2023-07-10 12:00:00,142.00,427.00,0.00
DadosHidrometereologicos13,12,34020980,2023-07-10 11:00:00,142.00,427.00,0.00
DadosHidrometereologicos14,13,34020980,2023-07-10 10:00:00,142.00,427.00,0.00
DadosHidrometereologicos15,14,34020980,2023-07-10 09:00:00,142.00,427.00,0.00
DadosHidrometereologicos16,15,34020980,2023-07-10 08:00:00,142.00,427.00,0.00
DadosHidrometereologicos17,16,34020980,2023-07-10 07:00:00,142.00,427.00,0.00
DadosHidrometereologicos18,17,34020980,2023-07-10 06:00:00,142.00,427.00,0.00
DadosHidrometereologicos19,18,34020980,2023-07-10 05:00:00,142.00,427.00,0.00
DadosHidrometereologicos20,19,34020980,2023-07-10 04:00:00,142.00,427.00,0.00
DadosHidrometereologicos21,20,34020980,2023-07-10 03:00:00,142.00,427.00,0.00
DadosHidrometereologicos22,21,34020980,2023-07-10 02:00:00,142.00,427.00,0.00
DadosHidrometereologicos23,22,34020980,2023-07-10 01:00:00,142.00,427.00,0.00
DadosHidrometereologicos24,23,34020980,2023-07-10 00:00:00,142.00,427.00,0.00
