@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,33321000,2023-07-10 23:45:00,7.01,213.00,0.00
DadosHidrometereologicos2,1,33321000,2023-07-10 23:30:00,7.01,213.00,0.00
DadosHidrometereologicos3,2,33321000,2023-07-10 23:15:00,7.01,213.00,0.00
DadosHidrometereologicos4,3,33321000,2023-07-10 23:00:00,7.01,213.00,0.00
DadosHidrometereologicos5,4,33321000,2023-07-10 22:45:00,7.01,213.00,0.00
DadosHidrometereologicos6,5,33321000,2023-07-10 22:30:00,6.73,212.00,0.00
DadosHidrometereologicos7,6,33321000,2023-07-10 22:15:00,7.01,213.00,0.00
DadosHidrometereologicos8,7,33321000,2023-07-10 22:00:00,7.01,213.00,0.00
DadosHidrometereologicos9,8,33321000,2023-07-10 21:45:00,6.73,212.00,0.00
DadosHidrometereologicos10,9,33321000,2023-07-10 21:30:00,7.01,213.00,0.00
DadosHidrometereologicos11,10,33321000,2023-07-10 21:15:00,7.01,213.00,0.00
DadosHidrometereologicos12,11,33321000,2023-07-10 21:00:00,7.01,213.00,0.00
DadosHidrometereologicos13,12,33321000,2023-07-10 20:45:00,7.01,213.00,0.00
DadosHidrometereologicos14,13,33321000,2023-07-10 20:30:00,7.01,213.00,0.00
DadosHidrometereologicos15,14,33321000,2023-07-10 20:15:00,7.01,213.00,0.00
DadosHidrometereologicos16,15,33321000,2023-07-10 20:00:00,7.01,213.00,0.00
DadosHidrometereologicos17,16,33321000,2023-07-10 19:45:00,7.01,213.00,0.00
DadosHidrometereologicos18,17,33321000,2023-07-10 19:30:00,7.01,213.00,0.00
DadosHidrometereologicos19,18,33321000,2023-07-10 19:15:00,7.01,213.00,0.00
DadosHidrometereologicos20,19,33321000,2023-07-10 19:00:00,6.73,212.00,0.00
DadosHidrometereologicos21,20,33321000,2023-07-10 18:45:00,6.73,212.00,0.00
DadosHidrometereologicos22,21,33321000,2023-07-10 18:30:00,6.73,212.00,0.00
DadosHidrometereologicos23,22,33321000,2023-07-10 18:15:00,7.01,213.00,0.00
DadosHidrometereologicos24,23,33321000,2023-07-10 18:00:00,7.01,213.00,0.00
DadosHidrometereologicos25,24,33321000,2023-07-10 17:45:00,6.73,212.00,0.00
DadosHidrometereologicos26,25,33321000,2023-07-10 17:30:00,6.73,212.00,0.00
DadosHidrometereologicos27,26,33321000,2023-07-10 17:15:00,7.01,213.00,0.00
DadosHidrometereologicos28,27,33321000,2023-07-10 17:00:00,6.73,212.00,0.00
DadosHidrometereologicos29,28,33321000,2023-07-10 16:45:00,6.73,212.00,0.00
DadosHidrometereologicos30,29,33321000,2023-07-10 16:30:00,6.73,212.00,0.00
DadosHidrometereologicos31,30,33321000,2023-07-10 16:15:00,6.73,212.00,0.00
DadosHidrometereologicos32,31,33321000,2023-07-10 16:00:00,7.01,213.00,0.00
DadosHidrometereologicos33,32,33321000,2023-07-10 15:45:00,7.01,213.00,0.00
DadosHidrometereologicos34,33,33321000,2023-07-10 15:30:00,6.73,212.00,0.00
DadosHidrometereologicos35,34,33321000,2023-07-10 15:15:00,7.01,213.00,0.00
DadosHidrometereologicos36,35,33321000,2023-07-10 15:00:00,6.73,212.00,0.00
DadosHidrometereologicos37,36,33321000,2023-07-10 14:45:00,6.73,212.00,0.00
DadosHidrometereologicos38,37,33321000,2023-07-10 14:30:00,7.01,213.00,0.00
DadosHidrometereologicos39,38,33321000,2023-07-10 14:15:00,7.01,213.00,0.00
DadosHidrometereologicos40,39,33321000,2023-07-10 14:00:00,6.73,212.00,0.00
DadosHidrometereologicos41,40,33321000,2023-07-10 13:45:00,7.01,213.00,0.00
DadosHidrometereologicos42,41,33321000,2023-07-10 13:30:00,7.01,213.00,0.00
DadosHidrometereologicos43,42,33321000,2023-07-10 13:15:00,7.01,213.00,0.00
DadosHidrometereologicos44,43,33321000,2023-07-10 13:00:00,6.73,212.00,0.00
DadosHidrometereologicos45,44,33321000,2023-07-10 12:45:00,6.73,212.00,0.00
DadosHidrometereologicos46,45,33321000,2023-07-10 12:30:00,6.73,212.00,0.00
DadosHidrometereologicos47,46,33321000,2023-07-10 12:15:00,6.73,212.00,0.00
DadosHidrometereologicos48,47,33321000,2023-07-10 12:00:00,7.01,213.00,0.00
DadosHidrometereologicos49,48,33321000,2023-07-10 11:45:00,6.73,212.00,0.00
DadosHidrometereologicos50,49,33321000,2023-07-10 11:30:00,6.73,212.00,0.00
DadosHidrometereologicos51,50,33321000,2023-07-10 11:15:00,6.73,212.00,0.00
DadosHidrometereologicos52,51,33321000,2023-07-10 11:00:00,6.73,212.00,0.00
DadosHidrometereologicos53,52,33321000,2023-07-10 10:45:00,7.01,213.00,0.00
DadosHidrometereologicos54,53,33321000,2023-07-10 10:30:00,7.01,213.00,0.00
DadosHidrometereologicos55,54,33321000,2023-07-10 10:15:00,7.01,213.00,0.00
DadosHidrometereologicos56,55,33321000,2023-07-10 10:00:00,6.73,212.00,0.00
DadosHidrometereologicos57,56,33321000,2023-07-10 09:45:00,6.73,212.00,0.00
DadosHidrometereologicos58,57,33321000,2023-07-10 09:30:00,6.73,212.00,0.00
DadosHidrometereologicos59,58,33321000,2023-07-10 09:15:00,7.01,213.00,0.00
DadosHidrometereologicos60,59,33321000,2023-07-10 09:00:00,6.73,212.00,0.00
DadosHidrometereologicos61,60,33321000,2023-07-10 08:45:00,6.73,212.00,0.00
