@diffgr:id,@msdata:rowOrder,CodEstacao,DataHora,Vazao,Nivel,Chuva
DadosHidrometereologicos1,0,23490000,2023-07-11 23:00:00,1219.00,15571.00,0.00
DadosHidrometereologicos2,1,23490000,2023-07-11 22:00:00,1224.00,15572.00,0.00
DadosHidrometereologicos3,2,23490000,2023-07-11 21:00:00,1224.00,15571.00,0.00
DadosHidrometereologicos4,3,23490000,2023-07-11 20:00:00,1209.00,15571.00,0.00
DadosHidrometereologicos5,4,23490000,2023-07-11 19:00:00,1209.00,15571.00,0.00
DadosHidrometereologicos6,5,23490000,2023-07-11 18:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos7,6,23490000,2023-07-11 17:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos8,7,23490000,2023-07-11 16:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos9,8,23490000,2023-07-11 15:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos10,9,23490000,2023-07-11 14:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos11,10,23490000,2023-07-11 13:00:00,1224.00,15568.00,0.00
DadosHidrometereologicos12,11,23490000,2023-07-11 12:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos13,12,23490000,2023-07-11 11:00:00,1229.00,15569.00,0.00
DadosHidrometereologicos14,13,23490000,2023-07-11 10:00:00,1229.00,15569.00,0.00
DadosHidrometereologicos15,14,23490000,2023-07-11 09:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos16,15,23490000,2023-07-11 08:00:00,1219.00,15569.00,0.00
DadosHidrometereologicos17,16,23490000,2023-07-11 07:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos18,17,23490000,2023-07-11 06:00:00,1234.00,15569.00,0.00
DadosHidrometereologicos19,18,23490000,2023-07-11 05:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos20,19,23490000,2023-07-11 04:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos21,20,23490000,2023-07-11 03:00:00,1224.00,15569.00,0.00
DadosHidrometereologicos22,21,23490000,2023-07-11 02:00:00,1214.00,15569.00,0.00
DadosHidrometereologicos23,22,23490000,2023-07-11 01:00:00,1244.00,15569.00,0.00
DadosHidrometereologicos24,23,23490000,2023-07-11 00:00:00,1264.00,15571.00,0.00
